case,n_U,n_V,n_T,n_OMEGA,n_PS,n_Z3,n_O3,n_legacy_EPflux_Fz,has_new_EPflux_ubar,has_EHF,has_AO_NAM_B2000WCN_projection,has_partial_O3,has_FWD,omega_required_for_EPflux,needs_OMEGA_extract,needs_new_EPflux,needs_EHF,needs_AO_NAM,needs_partial_O3,needs_FWD
0003-02,29,29,29,0,29,29,29,29,0,0,0,0,0,0,0,1,1,1,1,1
0003-03,30,30,30,0,30,30,30,30,0,0,0,0,0,0,0,1,1,1,1,1
0008-01,30,30,30,0,30,30,30,30,0,0,0,0,0,0,0,1,1,1,1,1
0008-02,30,30,30,29,30,30,30,30,0,0,0,0,0,0,0,1,1,1,1,1
0008-02_NOCOUPL,30,30,30,0,30,30,30,30,0,0,0,0,0,0,0,1,1,1,1,1
0008-02_v2,30,30,30,29,30,30,30,30,0,0,0,0,0,0,0,1,1,1,1,1
0008-02_v3,30,30,30,0,30,30,30,30,0,0,0,0,0,0,0,1,1,1,1,1
0008-03,30,30,30,0,30,30,30,30,0,0,0,0,0,0,0,1,1,1,1,1
0008-03_NOCOUPL,30,30,30,0,30,30,30,30,0,0,0,0,0,0,0,1,1,1,1,1
0008-03_v2,30,30,30,0,30,30,30,30,0,0,0,0,0,0,0,1,1,1,1,1
0008-03_v3,30,30,30,0,30,30,30,30,0,0,0,0,0,0,0,1,1,1,1,1
0008-04_v2,30,30,30,0,30,30,30,30,0,0,0,0,0,0,0,1,1,1,1,1
0013-02,30,30,30,0,30,30,30,30,0,0,0,0,0,0,0,1,1,1,1,1
0013-02_NOCOUPL,30,30,30,0,30,30,30,30,0,0,0,0,0,0,0,1,1,1,1,1
0013-03,30,30,30,0,30,30,30,30,0,0,0,0,0,0,0,1,1,1,1,1
0013-03_NOCOUPL,30,30,30,0,30,30,30,30,0,0,0,0,0,0,0,1,1,1,1,1
0014-02,30,30,30,0,30,30,30,30,0,0,0,0,0,0,0,1,1,1,1,1
0014-02_NOCOUPL,30,30,30,0,30,30,30,30,0,0,0,0,0,0,0,1,1,1,1,1
0014-03,30,30,30,0,30,30,30,30,0,0,0,0,0,0,0,1,1,1,1,1
0014-03_NOCOUPL,30,30,30,0,30,30,30,30,0,0,0,0,0,0,0,1,1,1,1,1
0019-02,30,30,30,0,30,30,30,30,0,0,0,0,0,0,0,1,1,1,1,1
0019-02_NOCOUPL,30,30,30,0,30,30,30,30,0,0,0,0,0,0,0,1,1,1,1,1
0019-03,30,30,30,0,30,30,30,0,0,0,0,0,0,0,0,1,1,1,1,1
0019-03_NOCOUPL,30,30,30,0,30,30,30,0,0,0,0,0,0,0,0,1,1,1,1,1
