test,fwd_source,o3_source_for_low25,candidate_rows,n_low25,mean_low25_50hpa_doy,mean_low25_50hpa_date,delta_vs_paper_days,low_ids_head
paper Table 1 reference,Friedel et al. 2022,WACCM CLIM-3D low-ozone springs,200,50,117.0,27 Apr,0.0,
Marina native saved FWD + Marina O3 raw,Marina saved FW_vertical_newthreshIII_1.npy,Marina raw,200,50,118.04,28 Apr,1.04,"59,45,113,164,127,161,22,115"
Marina native saved FWD + Marina O3 rm5_from_raw,Marina saved FW_vertical_newthreshIII_1.npy,Marina rm5_from_raw,200,50,117.24,27 Apr,0.24,"59,45,164,113,127,22,161,115"
Marina native saved FWD + Marina O3 rm5_file,Marina saved FW_vertical_newthreshIII_1.npy,Marina rm5_file,200,50,117.24,27 Apr,0.24,"59,45,164,113,127,22,161,115"
Marina native saved FWD + Marina O3 rm15,Marina saved FW_vertical_newthreshIII_1.npy,Marina rm15,200,50,116.56,27 Apr,-0.44,"59,45,164,127,113,161,22,131"
Our native FWD + our O3 raw,our generated CLIM-3D FWD,our partial_O3 raw,211,52,121.12,01 May,4.12,"120,174,49,74,88,165,171,104"
Our native FWD + our O3 rm5,our generated CLIM-3D FWD,our partial_O3 rm5,211,52,121.69,02 May,4.69,"120,174,49,74,88,171,165,104"
Our native FWD + our O3 rm15,our generated CLIM-3D FWD,our partial_O3 rm15,211,52,120.13,30 Apr,3.13,"120,49,174,74,88,171,165,92"
Our native FWD + our O3 csv_raw,our generated CLIM-3D FWD,our partial_O3 csv_raw,211,52,121.12,01 May,4.12,"120,174,49,74,88,165,171,104"
Our native FWD + our O3 csv_rm5,our generated CLIM-3D FWD,our partial_O3 csv_rm5,211,52,121.69,02 May,4.69,"120,174,49,74,88,171,165,104"
Mapped pair: Marina FWD + our O3 raw,Marina saved FWD on mapped pair,our partial_O3 raw on mapped pair,198,49,120.16,30 Apr,3.16,"110,164,39,64,78,155,161,94"
Mapped pair: Marina FWD + our O3 rm5,Marina saved FWD on mapped pair,our partial_O3 rm5 on mapped pair,198,49,120.86,01 May,3.86,"110,164,39,64,78,161,155,94"
Mapped pair: Marina FWD + our O3 rm15,Marina saved FWD on mapped pair,our partial_O3 rm15 on mapped pair,198,49,119.22,29 Apr,2.22,"110,39,164,64,78,161,155,82"
Mapped pair: Marina FWD + our O3 csv_raw,Marina saved FWD on mapped pair,our partial_O3 csv_raw on mapped pair,197,49,120.16,30 Apr,3.16,"110,164,39,64,78,155,161,94"
Mapped pair: Marina FWD + our O3 csv_rm5,Marina saved FWD on mapped pair,our partial_O3 csv_rm5 on mapped pair,197,49,120.86,01 May,3.86,"110,164,39,64,78,161,155,94"
Mapped pair: our FWD + Marina O3 raw,our generated FWD on mapped pair,Marina raw on mapped pair,197,49,119.53,30 Apr,2.53,"110,39,64,164,78,161,16,66"
Mapped pair: our FWD + Marina O3 rm5_from_raw,our generated FWD on mapped pair,Marina rm5_from_raw on mapped pair,197,49,119.47,29 Apr,2.47,"110,39,164,64,78,16,161,66"
Mapped pair: our FWD + Marina O3 rm5_file,our generated FWD on mapped pair,Marina rm5_file on mapped pair,197,49,119.47,29 Apr,2.47,"110,39,164,64,78,16,161,66"
Mapped pair: our FWD + Marina O3 rm15,our generated FWD on mapped pair,Marina rm15 on mapped pair,197,49,119.02,29 Apr,2.02,"110,39,164,78,64,161,16,82"
