model_family,predictor_set,best_auc,best_loss_correlation,best_min_o3_correlation,best_top25_hit_rate,best_top25_false_alarm_rate
gradient_boosting,DYN_PLUS_PASSIVE_TRACER,1.0,0.9511733268040116,0.925934022609464,1.0,0.0
linear_l2,DYN_PLUS_PASSIVE_TRACER,1.0,0.9280023589321483,0.8739032441091605,1.0,0.0
random_forest,VORTEX_STATE,0.9888888888888888,0.9230100673823345,0.9039462485617058,0.8,0.05555555555555555
gradient_boosting,DYN_COUPLED,0.9888888888888888,0.8863140104079055,0.8515712961996472,0.8,0.05555555555555555
linear_l2,DYN_COUPLED,0.9888888888888888,0.8634596409964013,0.8151347291208417,0.8,0.05555555555555555
random_forest,WAVE_FORCING,0.9888888888888888,0.8509815999308663,0.809953671672834,0.8,0.05555555555555555
random_forest,DYN_PLUS_PASSIVE_TRACER,0.9882352941176471,0.9539117277612273,0.9236822223994745,0.8,0.05555555555555555
linear_l2,WAVE_FORCING,0.9882352941176471,0.8334486627933135,0.798251428539257,0.8,0.05555555555555555
gradient_boosting,VORTEX_STATE,0.9777777777777777,0.912543732256758,0.9014663494399061,0.8,0.05555555555555555
gradient_boosting,WAVE_FORCING,0.9764705882352941,0.8611395836089324,0.8102472400401655,0.8,0.05555555555555555
random_forest,DYN_COUPLED,0.9666666666666667,0.8953930281964979,0.8566201703121973,0.8,0.05555555555555555
linear_l2,VORTEX_STATE,0.9666666666666666,0.8302789526661888,0.8024968464667794,0.8,0.05555555555555555
