model_family,predictor_set,earliest_single_usable_lead_days,earliest_7day_stable_usable_lead_days,best_auc,best_loss_correlation,best_loss_mse_skill,best_min_o3_correlation,best_min_o3_mse_skill
random_forest,DYN_PLUS_PASSIVE_TRACER,22.0,15.0,0.874937154348919,0.8273447304981757,0.6844125005792978,0.7161994922252855,0.5124446516881453
gradient_boosting,DYN_PLUS_PASSIVE_TRACER,20.0,15.0,0.8780794369029663,0.8246577336649024,0.6790446856338418,0.7118292282792862,0.5060554997995977
linear_l2,DYN_PLUS_PASSIVE_TRACER,15.0,15.0,0.9029663147310206,0.8579162024932578,0.7359629779358909,0.7245426236859632,0.5249044763787124
gradient_boosting,DYN_COUPLED,,,0.8137254901960785,0.6881616960276913,0.4724302838104667,0.5826348705083805,0.33917954575970655
random_forest,DYN_COUPLED,,,0.7857142857142857,0.6646743998828677,0.44144142862838354,0.5782736501148301,0.33423987763192586
gradient_boosting,VORTEX_STATE,,,0.7847593582887701,0.629576229734087,0.39631337211003714,0.55424013248256,0.30713858714066067
linear_l2,DYN_COUPLED,,,0.783677107206519,0.6964821252219155,0.48438614243031874,0.5928145601722753,0.3510003312165255
random_forest,VORTEX_STATE,,,0.7833587980646805,0.6044236339549112,0.36078617156179094,0.5378733121137144,0.28507949880241623
gradient_boosting,WAVE_FORCING,,,0.7817672523554876,0.6262058803664279,0.3919914790406913,0.5273632821133305,0.2751850585253899
linear_l2,VORTEX_STATE,,,0.777400703871292,0.608608851447952,0.3702758854107734,0.5340483886560781,0.2851027402360321
linear_l2,WAVE_FORCING,,,0.769798828622358,0.6541819043264103,0.42767311880234093,0.563324668035843,0.31725468127446044
random_forest,WAVE_FORCING,,,0.7664655605832076,0.6173878536746542,0.37850333687918847,0.5329226530623465,0.2834990536121784
